,Benign,DDoS,DoS,Mirai,Spoofing
Benign,67134,319,88,5540,6493
DDoS,3345,48479,836,5677,1603
DoS,464,1123,56792,715,680
Mirai,4040,642,425,26281,3463
Spoofing,8574,182,513,3461,18660
