,precision,recall,f1-score,support
Benign,0.8254407144897058,0.7990926684595471,0.8120530241111565,79574.0
DDoS,0.8607981733013214,0.8553553553553553,0.85806813332106,59940.0
DoS,0.956797583081571,0.9536922407735805,0.9552423881897548,59774.0
Mirai,0.6743034575360859,0.691658775931824,0.6828708621935154,34851.0
Spoofing,0.6073915372254954,0.6502707868748009,0.6281001907809711,31390.0
accuracy,0.8149015738393923,0.8149015738393923,0.8149015738393923,0.8149015738393923
macro avg,0.784946293126836,0.7900139654790215,0.7872669197192916,265529.0
weighted avg,0.8173783308252632,0.8149015738393923,0.8159725196511898,265529.0
