,precision,recall,f1-score,support
Benign,0.8334188429917535,0.8369693618518612,0.8351903289923317,79574.0
DDoS,0.9071995717726826,0.8482482482482483,0.8767340604388498,59940.0
DoS,0.9654560211017551,0.9552481011811156,0.9603249352484107,59774.0
Mirai,0.6958074085742039,0.7604946773406789,0.7267143758054344,34851.0
Spoofing,0.6494526563176449,0.6690665817139216,0.6591137333668089,31390.0
accuracy,0.8362551736345183,0.8362551736345183,0.8362551736345183,0.8362551736345183
macro avg,0.8102669001516081,0.8140053940671651,0.8116154867703671,265529.0
weighted avg,0.8399876639751107,0.8362551736345183,0.8376849244453836,265529.0
