,Benign,DDoS,DoS,Mirai,Spoofing
Benign,66601,1572,255,3890,7256
DDoS,2522,50844,956,4575,1043
DoS,376,1070,57099,642,587
Mirai,3626,1899,372,26504,2450
Spoofing,6788,660,460,2480,21002
