,precision,recall,f1-score,support
Benign,0.8242580768586938,0.8663131173498881,0.8447625116415862,79574.0
DDoS,0.9598393574297188,0.8253753753753754,0.8875433922660854,59940.0
DoS,0.9763151163782079,0.9578746612239435,0.967006983676606,59774.0
Mirai,0.6684637439654961,0.7827035092249863,0.7210869967485263,34851.0
Spoofing,0.6581229773462783,0.647849633641287,0.6529458982180125,31390.0
accuracy,0.8408836699569538,0.8408836699569538,0.8408836699569538,0.8408836699569538
macro avg,0.817399854395679,0.816023259363096,0.8146691565101634,265529.0
weighted avg,0.8490057705882342,0.8408836699569538,0.8430300763563622,265529.0
