,precision,recall,f1-score,support
Benign,0.8034515360771689,0.8436675295950938,0.8230685767879802,79574.0
DDoS,0.9553453542220909,0.8087921254587921,0.8759813886253783,59940.0
DoS,0.9682545094963685,0.9501120888680697,0.9590975107238153,59774.0
Mirai,0.6306330085904881,0.7540960087228487,0.686860503103561,34851.0
Spoofing,0.6039030389332988,0.5944568333864289,0.5991427057746954,31390.0
accuracy,0.8185395945452286,0.8185395945452286,0.8185395945452286,0.8185395945452286
macro avg,0.7923174894638831,0.7902249172062467,0.7888301370030859,265529.0
weighted avg,0.8285663919534818,0.8185395945452286,0.8212855955374635,265529.0
