,Benign,DDoS,DoS,Mirai,Spoofing
Benign,68936,381,67,4463,5727
DDoS,2870,49473,674,5642,1281
DoS,376,951,57256,658,533
Mirai,3741,546,263,27278,3023
Spoofing,7711,192,385,2766,20336
