,precision,recall,f1-score,support
Benign,0.8261812331689574,0.8906049714730943,0.8571843268643448,79574.0
DDoS,0.9612546480935591,0.8323656990323657,0.8921792155074524,59940.0
DoS,0.9768887526398256,0.9595978184494931,0.9681660899653979,59774.0
Mirai,0.7097675140293258,0.7875240308742935,0.746626768226333,34851.0
Spoofing,0.6906309500361105,0.6702134437719018,0.6802690292957382,31390.0
accuracy,0.8534058426763178,0.8534058426763178,0.8534058426763178,0.8534058426763178
macro avg,0.8329446195935558,0.8280611927202297,0.8288850859718533,265529.0
weighted avg,0.8592948811929282,0.8534058426763178,0.8546422499766915,265529.0
