Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,Prediction Time,Training Time,Model Short,Macro FNR
Decision Tree,0.8149015738393923,0.784946293126836,0.7900139654790215,0.7872669197192916,0.8159725196511898,0.195303201675415,79.87501311302185,DT,0.2099860345209784
Random Forest,0.8362062147637358,0.8102669871778072,0.8140083652375074,0.8116091141965465,0.8376442210296954,13.129131078720093,1021.2353343963624,RF,0.18599163476249264
XGBoost,0.8408836699569538,0.817399854395679,0.816023259363096,0.8146691565101634,0.8430300763563622,1.6861121654510498,127.08545875549316,XGB,0.1839767406369039
LightGBM,0.8534058426763178,0.8329446195935558,0.8280611927202297,0.8288850859718533,0.8546422499766915,7.79641056060791,113.4390194416046,LGBM,0.17193880727977034
CatBoost,0.8185395945452286,0.7923174894638831,0.7902249172062467,0.7888301370030859,0.8212855955374635,0.2009351253509521,179.5407211780548,CAT,0.20977508279375337
Balanced Random Forest,0.8362551736345183,0.8102669001516081,0.8140053940671651,0.8116154867703671,0.8376849244453836,3.17897367477417,292.86992263793945,BRF,0.18599460593283493
