,precision,recall,f1-score,support
Benign,0.8332561776665623,0.8369316610953327,0.8350898751716311,79574.0
DDoS,0.9072897329715837,0.8480146813480147,0.87665137456452,59940.0
DoS,0.9654974123059229,0.9550306153176966,0.9602354920100925,59774.0
Mirai,0.6954833971567959,0.7608390003156293,0.7266947120325582,34851.0
Spoofing,0.6498082157881713,0.6692258681108634,0.6593741172039298,31390.0
accuracy,0.8362062147637358,0.8362062147637358,0.8362062147637358,0.8362062147637358
macro avg,0.8102669871778072,0.8140083652375074,0.8116091141965465,265529.0
weighted avg,0.8399680930031455,0.8362062147637358,0.8376442210296954,265529.0
