,Benign,DDoS,DoS,Mirai,Spoofing
Benign,63587,2446,381,4339,8821
DDoS,2503,51270,1121,3980,1066
DoS,388,1180,57006,587,613
Mirai,3790,3685,577,24105,2694
Spoofing,6766,980,495,2737,20412
