,Benign,DDoS,DoS,Mirai,Spoofing
Benign,70869,280,66,3128,5231
DDoS,2952,49892,674,5296,1126
DoS,384,938,57359,578,515
Mirai,4001,604,248,27446,2552
Spoofing,7573,189,369,2221,21038
