iter	Passed	Remaining
163	22436	114369
164	22558	114161
165	22675	113926
166	22819	113822
167	22940	113608
168	23075	113466
169	23194	113242
170	23334	113126
171	23467	112969
172	23592	112780
173	23709	112550
174	23821	112299
175	23953	112147
176	24079	111964
177	24209	111800
178	24325	111572
179	24456	111414
180	24576	111207
181	24702	111025
182	24838	110890
183	24978	110772
184	25089	110530
185	25204	110301
186	25331	110131
187	25446	109906
188	25573	109734
189	25693	109537
190	25815	109344
191	25958	109240
192	26116	109203
193	26247	109049
194	26376	108889
195	26493	108677
196	26637	108578
197	26770	108433
198	26899	108275
199	27041	108164
200	27158	107958
201	27288	107803
202	27440	107735
203	27563	107550
204	27677	107336
205	27820	107230
206	27943	107050
207	28068	106877
208	28200	106728
209	28315	106521
210	28423	106285
211	28562	106167
212	28674	105946
213	28811	105822
214	28945	105685
215	29088	105580
216	29196	105350
217	29308	105134
218	29439	104986
219	29574	104854
220	29693	104664
221	29810	104470
222	29955	104372
223	30079	104205
224	30207	104048
225	30312	103812
226	30417	103580
227	30530	103376
228	30672	103269
229	30799	103112
230	30944	103014
231	31075	102870
232	31196	102692
233	31310	102495
234	31439	102344
235	31561	102173
236	31668	101954
237	31819	101875
238	31962	101772
239	32095	101636
240	32235	101521
241	32368	101385
242	32490	101215
243	32621	101074
244	32733	100873
245	32854	100701
246	32988	100567
247	33100	100370
248	33219	100191
249	33357	100071
250	33484	99919
251	33608	99758
252	33713	99540
253	33852	99424
254	33985	99290
255	34104	99114
256	34224	98945
257	34351	98794
258	34468	98615
259	34606	98496
260	34714	98290
261	34832	98114
262	34956	97957
263	35066	97760
264	35189	97601
265	35311	97437
266	35464	97361
267	35582	97187
268	35690	96986
269	35809	96818
270	35957	96726
271	36087	96588
272	36233	96489
273	36352	96322
274	36469	96145
275	36604	96019
276	36726	95860
277	36842	95683
278	36985	95579
279	37109	95425
280	37229	95260
281	37359	95120
282	37462	94913
283	37592	94776
284	37698	94575
285	37848	94488
286	37987	94372
287	38104	94202
288	38240	94080
289	38341	93871
290	38466	93719
291	38573	93526
292	38713	93415
293	38837	93262
294	38958	93105
295	39092	92977
296	39213	92818
297	39317	92621
298	39456	92504
299	39592	92382
300	39703	92201
301	39823	92041
302	39972	91950
303	40094	91795
304	40223	91656
305	40363	91544
306	40499	91421
307	40587	91190
308	40707	91031
309	40839	90901
310	40953	90729
311	41083	90593
312	41222	90478
313	41354	90348
314	41464	90169
315	41590	90025
316	41717	89883
317	41837	89725
318	41976	89611
319	42096	89454
320	42226	89321
321	42375	89225
322	42486	89049
323	42616	88916
324	42750	88789
325	42870	88634
326	42977	88452
327	43121	88347
328	43267	88245
329	43367	88049
330	43491	87903
331	43637	87800
332	43768	87667
333	43884	87505
334	44002	87348
335	44107	87164
336	44235	87027
337	44369	86900
338	44514	86797
339	44636	86646
340	44744	86471
341	44858	86306
342	44977	86151
343	45109	86023
344	45235	85882
345	45374	85766
346	45479	85586
347	45615	85463
348	45740	85321
349	45883	85211
350	46019	85090
351	46154	84966
352	46260	84789
353	46382	84640
354	46517	84517
355	46647	84383
356	46778	84253
357	46890	84087
358	47022	83960
359	47150	83822
360	47258	83652
361	47371	83488
362	47499	83353
363	47601	83171
364	47707	82997
365	47833	82858
366	47985	82765
367	48119	82640
368	48262	82530
369	48375	82369
370	48489	82209
371	48616	82073
372	48718	81893
373	48860	81781
374	48987	81646
375	49115	81510
376	49250	81388
377	49386	81265
378	49478	81072
379	49585	80903
380	49715	80770
381	49840	80632
382	49957	80480
383	50069	80319
384	50200	80189
385	50319	80042
386	50423	79870
387	50555	79741
388	50695	79627
389	50811	79473
390	50929	79325
391	51055	79187
392	51186	79058
393	51318	78931
394	51430	78772
395	51572	78660
396	51674	78488
397	51780	78321
398	51904	78182
399	52050	78076
400	52190	77959
401	52335	77851
402	52455	77706
403	52560	77540
404	52678	77391
405	52807	77260
406	52971	77179
407	53088	77029
408	53227	76912
409	53361	76788
410	53471	76629
411	53614	76517
412	53719	76352
413	53859	76236
414	53984	76099
415	54105	75955
416	54218	75801
417	54367	75698
418	54486	75553
419	54603	75404
420	54731	75271
421	54843	75117
422	54960	74969
423	55081	74827
424	55218	74707
425	55348	74577
426	55482	74452
427	55624	74339
428	55746	74198
429	55860	74048
430	55967	73887
431	56082	73737
432	56210	73605
433	56332	73466
434	56441	73308
435	56557	73162
436	56688	73033
437	56836	72927
438	56960	72790
439	57066	72630
440	57194	72498
441	57328	72373
442	57476	72267
443	57628	72165
444	57749	72024
445	57883	71900
446	58030	71791
447	58172	71676
448	58293	71535
449	58404	71383
450	58530	71249
451	58658	71117
452	58814	71018
453	58932	70874
454	59055	70736
455	59204	70630
456	59373	70546
457	59514	70430
458	59646	70302
459	59802	70202
460	59957	70102
461	60072	69954
462	60213	69837
463	60364	69731
464	60480	69585
465	60603	69447
466	60731	69314
467	60846	69167
468	60963	69022
469	61097	68897
470	61211	68748
471	61340	68618
472	61456	68473
473	61569	68324
474	61708	68204
475	61836	68072
476	61968	67944
477	62107	67824
478	62247	67705
479	62369	67566
480	62500	67437
481	62610	67286
482	62731	67147
483	62842	66997
484	62984	66880
485	63105	66740
486	63249	66625
487	63384	66501
488	63527	66385
489	63666	66264
490	63799	66138
491	63901	65979
492	64019	65837
493	64172	65731
494	64283	65582
495	64421	65460
496	64540	65319
497	64661	65181
498	64776	65036
499	64886	64886
500	65007	64748
501	65126	64607
502	65245	64467
503	65375	64338
504	65506	64209
505	65635	64079
506	65749	63934
507	65865	63791
508	66003	63668
509	66116	63524
510	66228	63377
511	66338	63228
512	66471	63102
513	66599	62971
514	66723	62836
515	66871	62724
516	66984	62579
517	67116	62451
518	67259	62334
519	67365	62183
520	67516	62074
521	67638	61937
522	67759	61799
523	67868	61651
524	67988	61513
525	68107	61374
526	68241	61249
527	68356	61106
528	68471	60964
529	68610	60842
530	68720	60696
531	68836	60555
532	68966	60426
533	69094	60296
534	69226	60168
535	69338	60024
536	69478	59904
537	69612	59778
538	69747	59654
539	69857	59508
540	69995	59386
541	70116	59250
542	70238	59113
543	70375	58991
544	70507	58863
545	70640	58737
546	70757	58597
547	70890	58471
548	71014	58338
549	71123	58192
550	71216	58032
551	71354	57910
552	71511	57803
553	71672	57700
554	71801	57570
555	71920	57432
556	72055	57307
557	72205	57194
558	72330	57062
559	72461	56934
560	72571	56789
561	72691	56652
562	72822	56524
563	72962	56403
564	73104	56283
565	73228	56150
566	73350	56015
567	73482	55887
568	73596	55747
569	73722	55615
570	73871	55500
571	74029	55392
572	74145	55252
573	74263	55115
574	74390	54984
575	74529	54862
576	74677	54746
577	74833	54636
578	74945	54494
579	75105	54387
580	75235	54257
581	75335	54107
582	75447	53965
583	75581	53838
584	75711	53710
585	75845	53583
586	75966	53448
587	76082	53309
588	76211	53179
589	76350	53057
590	76476	52925
591	76593	52787
592	76714	52652
593	76849	52526
594	76967	52389
595	77067	52240
596	77176	52097
597	77304	51966
598	77426	51832
599	77561	51707
600	77686	51575
601	77805	51439
602	77911	51294
603	78019	51151
604	78158	51028
605	78272	50889
606	78391	50754
607	78513	50620
608	78634	50486
609	78776	50365
610	78911	50239
611	79038	50109
612	79151	49969
613	79294	49849
614	79425	49721
615	79535	49580
616	79662	49450
617	79787	49318
618	79913	49187
619	80022	49046
620	80159	48921
621	80262	48776
622	80373	48636
623	80479	48494
624	80589	48353
625	80710	48219
626	80831	48086
627	80951	47952
628	81064	47814
629	81198	47688
630	81309	47548
631	81420	47409
632	81538	47274
633	81664	47143
634	81784	47010
635	81918	46884
636	82045	46754
637	82156	46615
638	82272	46479
639	82403	46352
640	82515	46213
641	82655	46091
642	82767	45953
643	82905	45829
644	83036	45702
645	83147	45564
646	83265	45429
647	83377	45291
648	83511	45165
649	83654	45044
650	83790	44919
651	83932	44798
652	84036	44656
653	84173	44532
654	84305	44405
655	84433	44276
656	84569	44151
657	84681	44013
658	84808	43884
659	84921	43747
660	85032	43609
661	85173	43487
662	85289	43352
663	85419	43224
664	85561	43102
665	85689	42973
666	85825	42848
667	85948	42716
668	86084	42591
669	86217	42465
670	86367	42347
671	86497	42219
672	86628	42091
673	86752	41960
674	86865	41824
675	86981	41689
676	87114	41562
677	87248	41436
678	87394	41315
679	87524	41188
680	87644	41055
681	87751	40916
682	87884	40789
683	88013	40661
684	88152	40537
685	88284	40410
686	88408	40279
687	88527	40146
688	88658	40018
689	88795	39893
690	88930	39767
691	89042	39631
692	89150	39493
693	89279	39365
694	89390	39228
695	89524	39102
696	89638	38967
697	89772	38841
698	89907	38715
699	90041	38589
700	90179	38464
701	90292	38329
702	90432	38205
703	90584	38086
704	90724	37962
705	90836	37827
706	90987	37707
707	91119	37580
708	91267	37459
709	91404	37334
710	91524	37201
711	91654	37073
712	91776	36942
713	91922	36820
714	92035	36685
715	92140	36547
716	92264	36416
717	92407	36293
718	92534	36164
719	92666	36036
720	92772	35899
721	92912	35775
722	93050	35649
723	93183	35522
724	93304	35391
725	93412	35254
726	93534	35123
727	93669	34997
728	93791	34866
729	93892	34727
730	94018	34597
731	94123	34460
732	94253	34332
733	94390	34207
734	94521	34079
735	94644	33948
736	94762	33816
737	94882	33684
738	95006	33554
739	95135	33426
740	95280	33303
741	95412	33175
742	95519	33039
743	95631	32905
744	95760	32777
745	95896	32651
746	96021	32521
747	96117	32381
748	96253	32255
749	96382	32127
750	96510	31998
751	96634	31868
752	96752	31736
753	96883	31609
754	97024	31484
755	97126	31347
756	97255	31219
757	97380	31089
758	97486	30954
759	97635	30832
760	97754	30700
761	97897	30576
762	98020	30446
763	98135	30314
764	98259	30184
765	98411	30062
766	98539	29934
767	98682	29810
768	98810	29681
769	98945	29555
770	99072	29426
771	99184	29292
772	99329	29169
773	99472	29044
774	99597	28915
775	99714	28783
776	99842	28654
777	99970	28526
778	100105	28399
779	100221	28267
780	100345	28137
781	100444	28001
782	100553	27867
783	100679	27738
784	100820	27613
785	100958	27487
786	101052	27349
787	101209	27228
788	101409	27119
789	101567	26998
790	101778	26892
791	102025	26794
792	102297	26703
793	102580	26614
794	102854	26522
795	103073	26415
796	103382	26332
797	103618	26229
798	103887	26134
799	104120	26030
800	104365	25928
801	104626	25830
802	104854	25723
803	105109	25623
804	105338	25516
805	105586	25414
806	105892	25324
807	106435	25291
808	106840	25224
809	107264	25160
810	107647	25086
811	108084	25024
812	108451	24945
813	108794	24859
814	109158	24778
815	109408	24670
816	109561	24540
817	109701	24407
818	109825	24271
819	109956	24136
820	110068	23997
821	110174	23857
822	110304	23722
823	110436	23588
824	110550	23450
825	110702	23319
826	110812	23180
827	110951	23047
828	111082	22913
829	111208	22777
830	111344	22644
831	111447	22503
832	111561	22365
833	111710	22234
834	111836	22099
835	111963	21964
836	112084	21827
837	112174	21685
838	112311	21551
839	112442	21417
840	112554	21279
841	112700	21148
842	112815	21010
843	112914	20870
844	113047	20736
845	113189	20604
846	113302	20466
847	113410	20328
848	113518	20189
849	113638	20053
850	113758	19917
851	113903	19786
852	114026	19650
853	114147	19514
854	114253	19376
855	114385	19242
856	114513	19107
857	114664	18977
858	114803	18844
859	114904	18705
860	115019	18568
861	115163	18436
862	115281	18300
863	115420	18167
864	115526	18030
865	115615	17889
866	115739	17754
867	115853	17618
868	115987	17484
869	116116	17350
870	116221	17212
871	116338	17077
872	116470	16943
873	116570	16805
874	116719	16674
875	116848	16540
876	116985	16407
877	117115	16273
878	117256	16141
879	117383	16006
880	117484	15869
881	117609	15734
882	117742	15601
883	117868	15466
884	117996	15332
885	118107	15196
886	118213	15059
887	118317	14922
888	118435	14787
889	118544	14651
890	118671	14517
891	118770	14380
892	118913	14248
893	119019	14111
894	119128	13976
895	119238	13840
896	119341	13703
897	119454	13568
898	119565	13432
899	119681	13297
900	119821	13165
901	119934	13030
902	120059	12896
903	120191	12763
904	120346	12633
905	120471	12499
906	120583	12364
907	120710	12230
908	120825	12095
909	120962	11963
910	121092	11830
911	121194	11694
912	121297	11558
913	121417	11424
914	121511	11287
915	121624	11153
916	121747	11019
917	121865	10885
918	121998	10752
919	122139	10620
920	122280	10488
921	122391	10354
922	122518	10220
923	122638	10087
924	122767	9954
925	122918	9822
926	123057	9690
927	123203	9558
928	123319	9424
929	123427	9290
930	123548	9156
931	123677	9023
932	123792	8889
933	123901	8755
934	124000	8620
935	124125	8487
936	124230	8352
937	124336	8218
938	124456	8085
939	124576	7951
940	124682	7817
941	124812	7684
942	124952	7552
943	125065	7419
944	125178	7285
945	125313	7153
946	125456	7021
947	125561	6887
948	125708	6755
949	125864	6624
950	125989	6491
951	126107	6358
952	126240	6225
953	126356	6092
954	126493	5960
955	126602	5826
956	126709	5693
957	126840	5560
958	126945	5427
959	127065	5294
960	127208	5162
961	127340	5030
962	127445	4896
963	127545	4763
964	127660	4630
965	127768	4497
966	127883	4364
967	127996	4231
968	128104	4098
969	128228	3965
970	128337	3832
971	128467	3700
972	128612	3568
973	128733	3436
974	128867	3304
975	128997	3172
976	129103	3039
977	129233	2907
978	129358	2774
979	129481	2642
980	129588	2509
981	129721	2377
982	129861	2245
983	129996	2113
984	130111	1981
985	130240	1849
986	130373	1717
987	130517	1585
988	130646	1453
989	130763	1320
990	130882	1188
991	131009	1056
992	131118	924
993	131242	792
994	131370	660
995	131513	528
996	131644	396
997	131745	264
998	131867	131
999	132004	0
