iter	MultiClass
0	1.474364126
1	1.381996532
2	1.311313928
3	1.252101717
4	1.20047904
5	1.161612511
6	1.123890436
7	1.091867907
8	1.061352134
9	1.035254751
10	1.013493443
11	0.9915482276
12	0.9721039297
13	0.9550552654
14	0.940134323
15	0.9257899624
16	0.9112515845
17	0.8996434473
18	0.88788174
19	0.8771075097
20	0.8675218124
21	0.8592626425
22	0.8490913706
23	0.8431559801
24	0.8356139652
25	0.8278883067
26	0.8222947649
27	0.8170618602
28	0.8079717553
29	0.8018020228
30	0.7961091062
31	0.7916980444
32	0.787620378
33	0.7816205102
34	0.7769116981
35	0.7724593213
36	0.768164188
37	0.764811049
38	0.7601619412
39	0.7570940928
40	0.752006566
41	0.7494059224
42	0.7456080771
43	0.7411852026
44	0.7394430714
45	0.7353148988
46	0.7331980772
47	0.7310741906
48	0.7280845946
49	0.7256915109
50	0.7227356977
51	0.7206904547
52	0.717632024
53	0.71440378
54	0.7109957162
55	0.7094267889
56	0.7071885573
57	0.7048995285
58	0.7025945151
59	0.7012461127
60	0.6988342782
61	0.6960197232
62	0.6945779402
63	0.6934542647
64	0.6908044194
65	0.6890183024
66	0.6876606155
67	0.684705489
68	0.6822265629
69	0.6804882806
70	0.6784678918
71	0.67765951
72	0.6753846822
73	0.6734195463
74	0.6715202556
75	0.6695037557
76	0.6672450369
77	0.6661729267
78	0.6650134045
79	0.6639196077
80	0.6629149051
81	0.6617845389
82	0.6594915635
83	0.6574391297
84	0.6556023489
85	0.654086154
86	0.6524022641
87	0.6507380748
88	0.649655628
89	0.6489435626
90	0.6481569603
91	0.6466940605
92	0.6453580122
93	0.6442912457
94	0.6430370807
95	0.6421068433
96	0.6410616151
97	0.6398225852
98	0.6387372832
99	0.6372724201
100	0.635289274
101	0.6347248057
102	0.6329697529
103	0.6319699791
104	0.6305246204
105	0.6297790943
106	0.6284832376
107	0.6273113257
108	0.6264997406
109	0.6258942548
110	0.6247496833
111	0.6238921441
112	0.622888884
113	0.6215713861
114	0.6207067613
115	0.6193211389
116	0.6186043647
117	0.617574724
118	0.6168826958
119	0.6161820443
120	0.6152106485
121	0.6136915803
122	0.6127458802
123	0.611882992
124	0.6111656317
125	0.6096260329
126	0.6085566203
127	0.6081083134
128	0.6067575518
129	0.6059934109
130	0.6052389042
131	0.6041833011
132	0.603484896
133	0.6029538784
134	0.6020500597
135	0.6008212971
136	0.6001232081
137	0.5995036208
138	0.5987576664
139	0.5978347908
140	0.5971803238
141	0.5966318365
142	0.5958311913
143	0.5947165906
144	0.593952555
145	0.5928050999
146	0.5921263581
147	0.5912760231
148	0.5905191746
149	0.5901848328
150	0.5898500557
151	0.5889764587
152	0.5882177787
153	0.5873928835
154	0.5867572044
155	0.5862252081
156	0.5856274632
157	0.5847238562
158	0.5840227834
159	0.5835739397
160	0.5829374549
161	0.5822656957
162	0.5818058847
163	0.5808684652
164	0.5801479545
165	0.5796396212
166	0.5789297587
167	0.5783906483
168	0.5779178848
169	0.5775319903
170	0.5764860189
171	0.5759987076
172	0.5753400288
173	0.5744624941
174	0.5740189842
175	0.5733186826
176	0.5730635237
177	0.5723022811
178	0.5714814619
179	0.5709028995
180	0.5704461291
181	0.5696896732
182	0.5690504614
183	0.5684667219
184	0.5680362777
185	0.5677474648
186	0.5673778331
187	0.566671641
188	0.5660025417
189	0.5650415361
190	0.5645672666
191	0.5639612894
192	0.5633661956
193	0.5629794437
194	0.5624751232
195	0.5619293001
196	0.5616600315
197	0.5611255541
198	0.5607307424
199	0.560298378
200	0.5599080033
201	0.5593057106
202	0.5588731488
203	0.5582795519
204	0.5578396485
205	0.5570977172
206	0.5568100796
207	0.5564074154
208	0.5559391898
209	0.5554466549
210	0.5551874786
211	0.5545201008
212	0.5540495266
213	0.5532473007
214	0.5528338647
215	0.5525157418
216	0.5521210014
217	0.551734361
218	0.5512617866
219	0.5508459859
220	0.5502318644
221	0.5497673649
222	0.5495216405
223	0.5489901676
224	0.5483158726
225	0.5476781104
226	0.5470875474
227	0.5467344116
228	0.546311063
229	0.5459598026
230	0.5454268581
231	0.5450413592
232	0.5447110386
233	0.5441490127
234	0.5436042083
235	0.5432100782
236	0.5428934065
237	0.5425524065
238	0.5420989594
239	0.5418681416
240	0.5415077294
241	0.5409438517
242	0.5405081186
243	0.540175786
244	0.5397417529
245	0.5395077977
246	0.5391447976
247	0.538902642
248	0.53839798
249	0.5380348188
250	0.5376406832
251	0.5373190601
252	0.5369794591
253	0.5367435119
254	0.536431306
255	0.5360745479
256	0.5357573269
257	0.5354432018
258	0.5349635455
259	0.5345844423
260	0.5339624566
261	0.5336510519
262	0.5332391779
263	0.5329944627
264	0.5327581736
265	0.5324686005
266	0.5322700013
267	0.532096991
268	0.5318607851
269	0.5314331414
270	0.5309884581
271	0.5306334466
272	0.5303565118
273	0.5301282721
274	0.529703688
275	0.5293753875
276	0.5289896261
277	0.5288168467
278	0.5284956788
279	0.5282902134
280	0.5281051031
281	0.5277928967
282	0.5274438887
283	0.5269897977
284	0.5265868593
285	0.5262924113
286	0.5257632129
287	0.5255472895
288	0.5252731808
289	0.5249934787
290	0.5248010216
291	0.5244749715
292	0.5242388667
293	0.5237745006
294	0.5235066608
295	0.5232412464
296	0.5228756156
297	0.5226539823
298	0.522433442
299	0.522088777
